number,name,description,image
8327GY-3,Deryn Collection ,"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Contrast toss pillows and an additional chair option are featured in a modern teal or grey herringbone pattern to complement the teal, beige and grey seating body covers. Natural tone finished legs support the frame while tailored stitch tufting lends further accent to this thoroughly modern collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8327GY.jpg
5302A,Saddleback Collection ,"A space apart from the hustle and bustle of today’s hectic lives, this gathering height table with four saddle back stools are designed for you to enjoy a good meal with or without your friends and families. Available in three finishes: black sand-through, warm cherry, and oak.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5302A.jpg
8325BRW-3,Greeley Collection ,"Designed to be the comfortable spot that you nestle into after a long day, the Greeley Collection will be a welcome addition to your home’s living room. Plush seating and backs extend from seated to prone with a pull of the manual reclining mechanism on each piece in the collection – dual reclining sofa, love seat and chair. The top and front bodies of each piece in the collection is covered in black or brown top grain leather, with leather match covering those areas beyond your initial reach.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8325BRW.jpg
8336,Keamey Collection ,"With a configuration options that allow for placement that is perfect for your contemporary home, the Keamey Collection will be a welcome addition to your spacious living room. Ample seating is covered in dark grey fabric, with light grey contrast welt, resulting in a pleasurable seating experience. Bookending this substantially sized seating group are the left or right end units that are offered as reclining chair or push back chaise. Armless chair, console unit, corner seat and armless reclining chair make up the middle part of this sectional offering.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8336 3292.jpg
8403-3,Cassville Collection ,"Uniquely appointed for ultimate relaxation, the Cassville Collection will provide your living room with a comfortable place to spend your downtime. Dark brown bi-cast vinyl covers the plush seating of this motion seating group. The sofa features a unique drop down back center console and dual reclining ends. The accompanying chair completes the arrangement with a reclining mechanism.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8403_all.jpg
8325BLK-3,Greeley Collection ,"Designed to be the comfortable spot that you nestle into after a long day, the Greeley Collection will be a welcome addition to your home’s living room. Plush seating and backs extend from seated to prone with a pull of the manual reclining mechanism on each piece in the collection – dual reclining sofa, love seat and chair. The top and front bodies of each piece in the collection is covered in black or brown top grain leather, with leather match covering those areas beyond your initial reach.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8325BLK.jpg
9734TP-3,Rubin Collection ,"With base design elements that touch retro styling, the Rubin Collection is a perfect option for your modern home. With multiple covering options to suit your personal needs and style, the collection allows for versatile placement in a number of living room decor themes. Options include - light brown or chocolate textured plush microfiber; Black, dark brown or taupe bonded leather match; Fabric medallion print accent chair that provides a pop of color via purple, gold and green tones.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9734TP_ALL.jpg
9734BK-3,Rubin Collection ,"With base design elements that touch retro styling, the Rubin Collection is a perfect option for your modern home. With multiple covering options to suit your personal needs and style, the collection allows for versatile placement in a number of living room decor themes. Options include - light brown or chocolate textured plush microfiber; Black, dark brown or taupe bonded leather match; Fabric medallion print accent chair that provides a pop of color via purple, gold and green tones.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9734BK-shot2-original.jpg
4519-15,Lavi Collection ,Mid-Century modern design is utilized to create a minimalistic look in the Lavi Collection. Functional drawers are mounted below the desktop for easy access while the tapered legs are reinforced by metal horizontal supports.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4519-15.jpg
8250GY,Corso Collection,The classic lines of Mid-Century modern styling are perfectly executed in the design of the Corso Collection. The profile of the straight back seating is defined by welting and button tufting. The collection is offered in either dark gray or orange fabric as a perfect complement to your decorative preferences. Further enhancing the retro-modern look are the toss bolster pillows and wood legs.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8250GY.jpg
5328-96,Veltry Collection ,"Creating a unique style that blends femininity with gracefully weathered industrial accenting, the Veltry Collection provides an unexpectedly elegant addition to a number of dining spaces. A weathered finish covers the poplar wood veneer of the two table options; a 95.5-inch rectangular trestle table or 45-inch round pedestal table, both featuring nail head accent banding. Nailhead-accented, neutral-tone finished fabric chairs provide subtle contrast that complements the look of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5328-96.jpg
9724BLK,Marille Collection ,"With either the extended stretch of the reclining sofa or soothing rock of the reclining chair, your comfort is taken care of in the Marille Collection. Drop-down cup holders add additional function to the collection. The collection is offered in brown bonded leather match, black bonded leather match, dark brown 100% polyester or taupe 100% polyester.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9724BLK.jpg
8518,Ramsey Collection ,"Thoroughly modern, the Ramsey Collection features a hint of retro styling blended with a trendy grey cover that will show off your personal style. Coordinating stitching segments each cushion creating a center focal point that draws your eyes. Track style arms further lend to the classic look of the Ramsey Collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8518.jpg
8413TL-3,Adair Collection ,"The Adair Collection offers a classic look to your stylish home. Classic lines form the profile of this versatile look. Offered in 4 trend-driven colors - teal, grey, yellow and beige - your choice of fabric will allow for your decorative personality to shine.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8413TL_all_mixing color (2015).jpg
8511BK,Talon Collection ,"Designed with numerous room decors in mind, the transitional Talon Collection will be the perfect option for your living room. This stationary group features amply stuffed seating and a bonded leather match covering that is offered in either taupe or black.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8511BK-shot2_mixing color (2015).jpg
1234-1,Parlier Collection ,"Delicate carvings and a woven rattan back grace the show wood frame in the Parlier Collection. The enhanced texture of the wood grain is highlighted by a grey weathered finish, while a natural color fabric covers the plush feather down seating in this elegant offering. The coordinating ottoman allows for the achievement of ultimate relaxation.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1234-1 1234-4.jpg
9715PU,Charley Collection,"Like the embrace of a dear friend, the Charley Collection allows you to be yourself. Whether stretching out for a long nap or curling up with a good book, each piece is welcoming in its comforting hug. Golden brown chenille, chocolate chenille or dark brown bi-cast vinyl covers the collection adding another layer of softness.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9715PU.jpg
MT-G8,"Mattress, 8-inch","The Homelegance Bedding Collection introduces our line of gel-infused memory foam mattresses that form to your body, creating a customized sleep experience that is as unique as you are. The fabric covering the mattress contains Tencel, a breathable material that allows for a comfortable night’s sleep no matter the season. Offered in three thickness levels - 8"", 10"" and 12"", the Homelegance Bedding Collection’s selection creates the perfect fit for your personal sleep experience",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/MT-G8.jpg
8579DB-3,Hume Collection ,"Adaptable to be at home in a number of traditional or transitional settings, the Hume Collection provides a stylish look to your living room. Featuring the classic styles of an elevated foot and rolled arms, the Hume Collection will provide you with a comfortable and versatile platform to showcase your decorative taste. The collection is offered in dark brown bonded leather match.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8579DB_ALL.jpg
9701BLK,Dwyer Collection ,"A thoroughly modern seating option for your contemporary home, the Dwyer Collection provides a comfortable venue for your downtime.Black vinyl features contrast baseball stitching and raised cushions that slightly flare furthering the modern design.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9701BLK.jpg
1605-1*,Caruth Collection,"Transitional styling paired with unique and functional accents combine to create the Caruth Collection. The gray finish over v-matched oak veneer serves as the backdrop for the headboard’s gray, button-tufted, fabric insert and contrasting drawer hardware. Sawtooth molding provides distinct accent to the top drawer fronts, mirror and bed framing. Providing additional functionality to the collection is the mounted electrical charging station with USB ports.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1605-1.jpg
8214BRW-1,Waneta Collection ,"Styled for the transitional home, the Waneta Collection will provide the platform you seek for rest and relaxation. The push back recliner eases into the prone position with motion that is initiated by your push. Offered in a brown leather gel match cover, this stylish push-back chair will serve you well in your downtime.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8214BRW.jpg
1192BE,Lucille Collection ,"Retro lines need not stay in the past with the mid-century inspired lines of the Lucille Collection. With fabric offerings that range from neutral to bold such as beige, gray, blue, and orange further complemented with button-tufted accenting and stylishly appointed legs, this classic accent chair will provide a look that shows your personal style.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1192BE.jpg
1192GY,Lucille Collection ,"Retro lines need not stay in the past with the mid-century inspired lines of the Lucille Collection. With fabric offerings that range from neutral to bold such as beige, gray, blue, and orange further complemented with button-tufted accenting and stylishly appointed legs, this classic accent chair will provide a look that shows your personal style.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1192GY.jpg
4501-F2,Tala Collection ,"A bold statement for any room the Tala Collection provides function and style for your living space. Offered in dark blue and brown, each piece is boldly accented with a white quatrefoil pattern. The attached lift top allows for discrete storage space within your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4501-F2.jpg
1200BLK,Moderne Collection ,"Drawing inspiration from the timeless look of Art Deco lounges, the Moderne Collection will add a hint of masculine aesthetic to your home's décor. Hugging the contour of your body, the curved seat and back of the low-profile chair sits atop a swivel base allowing for 360-degree movement. The chair is covered in black or brown bi-cast vinyl with nailhead and roll-tucked back accent.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1200BLK.jpg
586-36,Ameillia Collection ,"The solid, clean lines of the Arts & Crafts movement are interpreted for modern times in the Ameillia Collection. Substantial tapered legs and the birch veneer, in a dark oak finish, complement this simple and refined dining option.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/586-36.jpg
1218TL,Roweena Collection,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1218TL.jpg
2458-36,Andover Collection ,Your cozy breakfast nook will be complete with the Andover Collection. The transitional pedestal base lends a casual feel to this five-piece offering. The table and spindle-back chairs are featured in an antique oak and black two-tone finish.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2458-36 Shot 1.jpg
5415RF-1,Sedley Collection ,"Whether your home leans to transitional or contemporary design, the Sedley Collection will be the perfect fit for your bedroom. From the distinct walnut veneer pattern - with walnut finish - to the unique cut-away design and horizontal metal hardware of the case goods, each design component lends to placement in a variety of bedroom spaces. The dark brown tone of the inset headboard fabric compliments the finish of the group.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5415RF-1.jpg
9636CC-3,Laurelton Collection ,Generous seating combined with functional touches makes the Laurelton Collection the perfect addition to your living room. The double glider reclining love seat-s center console features dual cup holders and hidden storage. Charcoal and chocolate textured plush microfiber fabric are available as cover options for this amply appointed seating group.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9636CC_shotin2016.jpg
5470-72,Jemez Collection ,Designed for your casual dining space is the Jemez Collection. The substantial V-profile of the table base rises to support the faux marble top in this transitionally styled dining group. Brown fabric upholstered seats feature nail head accent and provide complementing contrast to the weathered wood finish of the chair legs and table base.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5470-72.jpg
1194CH,Charisma Collection ,"High polished nailhead accents the profile of the Charisma Collection. This modern traditional accent chair provides a stylish, yet functional addition to your home. The chair is offered in four distinct colors: teal, taupe, indigo and chocolate.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1194CH.jpg
9734CH-3,Rubin Collection ,"With base design elements that touch retro styling, the Rubin Collection is a perfect option for your modern home. Light brown or chocolate Champion microfiber allows for versatile placement in a number of living room d cor themes. Coordinating toss pillows compliment the clean look of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9739CH Shot1_2014S-63.jpg
1757-1*,Cavalier Collection,"The Cavalier Collection exemplifies the finest in Old World European design inspiration. Egg and dart base moldings, bead molding, acanthus leaf carvings, and genuine marble inset tops all blend to achieve an elegant addition for your traditional home. The grand sleigh bed features a bi-cast vinyl, button-tufted headboard insert. Each of the collection’s beautiful detail is accented by the dark cherry finish on birch veneers with gold highlights",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1757-1.jpg
1193F5S,Barlowe Collection ,"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1193F5S.jpg
8228BU,Ferriday Collection ,"Providing the flexible option for relaxation, sleep and storage, the Ferriday Collection will be a stylish and functional addition to your living room. Under seat storage is revealed with the pull of a tab on the end chaise. The lower portion of the seating configuration pulls out to reveal a pop up trundle that creates a bed space creating a relaxing environment with minimal effort. The collection is offered in blue or taupe fabric, both with contrast stitching.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8228BU.jpg
5511-36,Delmar Collection ,The burnished finish and classic profile of the Delmar Collection will be a perfect fit for your modest casual dining space. Splat back wood chairs with brown bi-cast vinyl seats flank the counter and dining height table offerings. Routed detailing provides a linear focal point on the tables tops.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5511-36.jpg
1394N-1*,Palace II Collection,"The Palace II Collection exemplifies the rest of Old World Europe. With egg and dart base moldings, rope twists under case tops and on bed posts, acanthus and tobacco leaf carvings, florets and inset bluestone marble tops, the Palace II Collection has it all. These many exquisite details married with a rich weathered white with light rub-through on cherry veneers combine to create an ideal European environment worthy of the nobles of yesteryear and the discriminating homeowner of today. The bonded leather, button-tufted, insert on the headboard is featured in an elegant pearl, providing a trendy take on the Old World feel of this collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1394N-1.jpg
1191F3S,Orson Collection ,"The padded upper back of the Orson Collection is supported by wooden slats that give way to the substantially sized seat of this whimsical accent chair. The collection has six available fabric options - Blue tonal stripe, Black & White swirl, Multi-color poppies, Purple Medallion, Voyage and Grey Medallion.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1191f3s_2014H-77.jpg
1191F5S,Orson Collection ,"The padded upper back of the Orson Collection is supported by wooden slats that give way to the substantially sized seat of this whimsical accent chair. The collection has six available fabric options - Blue tonal stripe, Black & White swirl, Multi-color poppies, Purple Medallion, Voyage and Grey Medallion.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1191f5s_2014H-79.jpg
8555WHT-1,Alida Collection ,"Serving as a perfect accent in your contemporary home is the Alida Collection. The reclining mechanism of the chair combined with the separate ottoman allows for complete extension into a relaxed position. Fitted with a convenient swivel base, the chair faces the action at all times. Cover options include black or white bonded leather match.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8555wht_2014H-94.jpg
8327TL-1S,Deryn Collection ," Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Contrast toss pillows and an additional chair option are featured in a modern teal or gray herringbone pattern to complement the teal fabric, beige fabric and gray fabric seating body covers. Tailored stitch tufting lends further accent to this thoroughly modern collection. The collection is also available in chair, love seat, sofa and sectional covered with red or black leather gel match.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8327TL 8327TL-1S.jpg
4741FA,Colusa Collection ,"Additional storage space is always welcome in any home. The Colusa Collection will provide you with the extra room you need to store your personal items. Covered in a neutral grey fabric, this transitionally designed ottoman will place perfectly in a number of home decors. Button tufting lends a stylish touch to the piece.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4741FA.jpg
1755-1*,Libretto Collection,"Utterly feminine from the convex clipped corners of the headboard to the elegant framing of the drawer fronts, the Libretto Collection will be a glamorous addition to your bedroom suite. Crystal tufting adorns the light gray bi-cast vinyl headboard while high-polish hardware glistens against the collection’s silver finish. Additional storage space comes in the form of drawers found on the bed’s footboard.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1755-1.jpg
8412-1,Fiorella Collection , ,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8412-1.jpg
1957-1,Jerrick Collection ,Classic transitional design serves as a base for the natural qualities of the solid wood utilized to create the rustic look of the Jerrick Collection. Metal hardware furthers the authentic rustic look while a burnished finish serves to highlight the wood grain while allowing each plank to serve as a unique accent to the overall design.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1957-1.jpg
8548BRW-1,Aleron Collection ,"With a substantial profile that exudes sophistication and power, the Aleron Collection will provide you with the perfect accent seating addition to your living or work space. Button tufting highlights the plush design of the wing-back styled arms and seatback. When the release of the reclining mechanism is combined with separate ottoman, in this swivel base chair, you will find yourself fully reclined and ready to relax. The collection is offered in black or dark brown bonded leather match.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8548blk_2014H-92.jpg
1855-1,Cullen Collection ,Clean lines and unfettered design lend to the versatile contemporary styling of the Cullen Collection. The bed features dark brown vinyl padded inserts with a single accenting button. Each case piece in the collection is punctuated with silver finished knob hardware. The brown cherry finish further makes this modern group a versatile choice for placement in a number of bedroom looks.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1855.jpg
4965W-NT,Lorena Collection ,"Classically styled for your traditional home, the Lorena Collection is offered in a white finish with accenting finials and turned metal connectors that complete the look of this daybed. The metal trundle provides additional sleep space to fit your needs.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4965W-NT.jpg
2048FW-1,Lia Collection ,"Traditional styling lends to the classic look of the Lia Collection. Offered in twin and full, this white metal bed features prominent decorative jointing and ball finials creating a casual traditional option for your bedroom.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2048FW-1.jpg
2052FW-1,Tiana Collection ,The arched panels of the headboard and footboard create eye-catching drama in the Tiana Collection. The white finish along with ball finials and the circle motif - that centers the headboard and footboard - all lend to the traditional look of the collection. Twin and full bed size options are available.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2052FW-1.jpg
8555BLK-1,Alida Collection ,"Serving as a perfect accent in your contemporary home is the Alida Collection. The reclining mechanism of the chair combined with the separate ottoman allows for complete extension into a relaxed position. Fitted with a convenient swivel base, the chair faces the action at all times. Cover options include black or white bonded leather match.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8555blk_2014H-94.jpg
1212F1S,Langdale Collection ,"A tasteful accent to any room in your home is the Langdale Collection. The tufted fan back serves as the focal point, while dark cherry finish, on the wood legs, makes for a perfect contrast against either the oatmeal linen, french note, or grey chevron fabric offerings.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1212f2s_2014H-84.jpg
1955T-1,Lonan Collection ,"With a hint of weathering so popular in industrial styling, the Lonan Collection will fit into the rustic contemporary aesthetic that you look to achieve in your bedroom. Melamine laminate mimics the look of sun-bleached wood with a darker under-hue providing subtle contrast to the design of the group, with dark finished metal handles providing additional contrast. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1955T-1.jpg
2039TW-1,Lucida Collection , ,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2039TW.jpg
1723-1,Aristide Collection ,"Offered as an elegant statement to your personal style the Aristide Collection will lend a sophisticated look to your modern bedroom. Updated contemporary design is utilized to create the dramatic look blending a trend-forward gray finish on oak solids and veneers with bold, elongated hardware in a gold finish. The subtle curves of the panel headboard, low profile footboard and rails are covered in a supple, modern light gray fabric.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1723-1.jpg
2220T-1,Lorenzi Collection ,"The contemporary design of the Lorenzi Collection is enhanced by the addition of the durable black vinyl covering that encases each piece in the collection. Painted grey hardware provides a distinct contrast to the finish of cover. Scaled for urban living, this collection will prove a unique and stylish addition to your master, youth, and guest bedrooms.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2220T.jpg
1810T-1,Bernal Heights Collection ,"With hints of modern, industrial and country styling and nod to trend driven design, the Bernal Heights Collection will be a stylish addition to your youth and adult bedrooms. Cup pull hardware is featured prominently on each case piece while nailhead accents serve to enhance the neutral toned fabric headboard. A dark walnut finish rounds out the look of the Bernal Heights Collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1810T-1.jpg
2042T-1,Woodrow Collection ,Industrial design is subtly used to achieve a cool look for your bedroom in the Woodrow Collection. Dark metal hardware and corner banding with rivet look lend to the casual look of this bedroom group. Melamine laminate features a weathered-wood look that furthers the intended design. Black bi-cast vinyl accents of the headboard provides distinct complementing contrast to the finish of the collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2042T-1.jpg
1386D-1,Cinderella Collection ,"The Cinderella Collection is your little child-s dream. The Victorian styling incorporates floral motif hardware, ecru painted finish and traditional carving details that will create the feeling of a room worth of a fairy tale princess. Offering regular bed, daybed and canopy poster bed in both ecru painted white wash and dark cherry finishes.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1386D.jpg
3224N-16,Daria Collection , ,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3224N-16.jpg
1904T-1,Beechnut Collection ,"Blending the elements of contemporary design and rustic aesthetic, the Beechnut Collection is a unique addition to your master, youth or guest bedroom. Dark under-paneling serves to highlight the light finish of the embossed, faux-wood veneer of the raised panels on the bed and case goods. Contrasting cup hardware punctuates each drawer front.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1904T.jpg
1288-301,Ella Martin Collection ,"When adding the personal touches to your living space that reflect the warmth and elegance of your home, the Ella Martin Collection is the perfect traditional table offering. Featuring a warm brown cherry finish, smoked glass, and gold tipped acanthus leaf motif.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1288-301.jpg
2145T-1,Edina Collection ,"Enhancing the contemporary design of your bedroom is the focus of the Edina Collection. The espresso-hinted cherry finish builds on the unexaggerated lines of this bedroom suite, blended with the tufted vinyl inserts on the headboard and the polished nickel finished hardware, culminates to achieve the modern look. Whether it is a hard contemporary or a softer transitional feel, your décor design options are wide open with this adult bedroom collection, as well as youth.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2145T.jpg
2047FBK-1,Lia Collection ,"Designed for the traditional home, the Mardelle Collection is a timeless look for your bedroom. Offered in twin and full, this black metal bed features X-panels accent with medallion centers and ball finials, lending to the classic look.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2047FBK-1.jpg
1810-1,Bernal Heights Collection ,"With hints of modern, industrial and country styling and nod to trend driven design, the Bernal Heights Collection will be a stylish addition to your home. Cup pull hardware is featured prominently on each case piece while nailhead accents serve to enhance the neutral toned fabric headboard. A warm cherry finish rounds out the look of the Bernal Heights Collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1810-1.jpg
2952-30,Halston Collection ,Extraordinary contemporary design is utilized in the creation of the Halston Collection. Streamlined table legs extend and intersect to support the glass tabletops in this unique occasional table offering. The espresso finish of the wood legs furthers the modern feel of the collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2952-30.jpg
8327BLK-3,Deryn Collection ,"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Contrast toss pillows and an additional chair option are featured in a modern teal or gray herringbone pattern to complement the teal fabric, beige fabric and gray fabric seating body covers. Tailored stitch tufting lends further accent to this thoroughly modern collection. The collection is also available in chair, love seat, sofa and sectional covered with red or black leather gel match.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8327BLK.jpg
4950,Roland Collection ,"With a modern design that includes clean lines and a dark brown bi-cast vinyl or modern grey fabric, the Roland Collection will be a functional addition to your home. Nestled below the twin bed is the easily accessed lower trundle unit. Casters make quick work of extending this extra sleep space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4950+Shoot+1.jpg
2021TW-1,Pallina Collection ,"Perfectly at home in a child-s or second bedroom, the Pallina Collection will be a stylish addition to your home. Crafted of metal in white powder coating, with refined design that decorates the headboard and footboard, this elegant bed will pair with a number of room styles. With twin or full option to fit your needs, the metal slat system requires that a mattress only is needed to complete the bed.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2021tw-shot1.jpg
1349T-1,Glamour Collection ,The beauty of the Glamour Collection lies in the simple lines and style for your adult or youth bedroom. The panel headboard and footboard feature a grid pattern to give your bedroom suite an added touch of character. Select hardwoods and veneers in warm cherry finish with bold hardware accent give the Glamour Collection a desired look to your home décor.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1349T-1.jpg
5400-30,Schleiger Collection ,"Transitionally styled with a burnished brown finish, the Schleiger Collection features bold accenting for your living room. Sturdy legs support the metal and rivet banded table tops of the cocktail table, sofa table and end table.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5400-30.jpg
4966,Tulney Collection ,"The Tulney Collection is designed with the modern traditional home in mind. Designed to use as a bed or a cozy relaxation nook, it features a trundle that provides the extra space that you need for overnight guests. Covered in a neutral toned grey fabric, the black button-tufted back panel, and the nailhead accent along the curved arm panels complete the traditional look.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4966.jpg
4964BK-NT,Jones Collection ,"The design of the Jones Collection utilizes accents such as finials, and medallion connections to provide a traditional look to this functional daybed. The accompanied metal trundle provides additional sleep space in times of need.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4964BK-NT.jpg
